Address,Latitude,Longitude
"Comte d'Urgell, 230, Barcelona",41.3895265,2.149068
"Alegre de Dalt, 55-57 Providencia, 109, Barcelona",41.4093167,2.1608988
"Aragó, 179, Barcelona",41.387138,2.1579207
"Aragó, 182, Barcelona",41.3867507,2.1581671
"Aragó, 194-206, Barcelona",41.3873399,2.1588032
"Av. de la Riera de Cassoles, 61, Barcelona",41.4053439,2.1496479
"Av. de la Riera de Cassoles, 63-65, Barcelona",41.4054789,2.1497438
"Av. Madrid, 95-97, Barcelona",41.3787437,2.127418
"Bailèn, 67, Barcelona",41.3953913,2.1724707
"Balmes, 114, Barcelona",41.3928659,2.1583123
"Bonanova, 59 - Escoles Pies, Barcelona",41.40005610000001,2.1312662
"Calàbria, 169, Barcelona",41.3823972,2.1509141
"Casp, 21, Barcelona",41.389528,2.1704831
"Comte d'Urgell, 182, Barcelona",41.3873232,2.1520788
"Comte d'Urgell, 21 - Floridablanca, 120, Barcelona",41.3873974,2.168568
"Consell de Cent, 334, Barcelona",41.3928447,2.1682001
"Diagonal, 309, Barcelona",41.3995636,2.1730448
"Diagonal, 440, Barcelona",41.39719669999999,2.1608604
"Diagonal, 593-595, Barcelona",41.3889449,2.1305608
"Diputació, 284 - Roger de Llúria, 35-37, Barcelona",41.3922176,2.1696427
"Diputació, 303 - Roger de Llúria, 48, Barcelona",41.3927456,2.1697006
"Ganduxer, 117 - Dr. Carulla, Barcelona",41.4016496,2.1320618
"Gran Via de les Corts Catalanes, 641, Barcelona",41.3922444,2.1713897
"Josep Tarradellas, 20-30 - Rosselló, 1-13, Barcelona",41.3829436,2.1427847
"Lepant, 350-354 - Indústria, 123-125, Barcelona",41.4082108,2.1720305
"Marquès de Sentmenat, 54-58, Barcelona",41.3851406,2.1380748
"Nàpols, 227, Barcelona",41.4002009,2.1726181
"Passeig de Gràcia, 129, Barcelona",41.3975435,2.1576598
"Pau Claris, 194-196 - Còrsega, 340-342, Barcelona",41.3902164,2.151268
"Pedro i Pons, 9-11, Barcelona",41.3900091,2.12231
"Pere i Pons, 6-8 - Ll. Pericot, 12, Barcelona",41.3886857,2.1233443
"Plaça Catalunya, 20, Barcelona",41.3862089,2.1709466
"Passeig de la Bonanova, 67-69 / Dalmases, 49, Barcelona",41.4028135,2.1268275
"Rambla de la Marina, 450 - Hospitalet, Barcelona",41.3549693,2.1052378
"Sant Gervasi, 51-53 - Av. Tibidabo, Barcelona",41.41520879999999,2.1311765
"Sepúlveda, 143, Barcelona",41.3818913,2.1605247
"Tarragona, 141-157, Barcelona",41.3779613,2.1450491
"Tomàs Bretón, 32-38 - Esplugues, Barcelona",41.3758157,2.0794916
"Travessera de les Corts, 39-43 y 51-55, Barcelona",41.3776717,2.1202721
"Tuset, 5-11, Barcelona",41.3956811,2.1519118
"València, 344-346, Barcelona",41.3971108,2.1693349
"València, 307-313, Barcelona",41.3962917,2.1678885
"Via Augusta, 117, Barcelona",41.4005917,2.1461333
"Via Augusta, 281-285 - Dr. Roux, Barcelona",41.3975671,2.129973
"Via Laietana, 26, Barcelona",41.3845792,2.1782127
"Vico, 20-24 - Freixa, 21, Barcelona",41.3992053,2.1358855
"Zona Franca, 137-139, Barcelona",41.3318679,2.1271694
